efficiency,start_time,time_offset,end_time
93.75,2018-01-05 04:54:00.000,UTC-0400,2018-01-05 13:41:00.000
86.930695,2018-08-03 01:46:00.000,UTC-0300,2018-08-03 10:10:00.000
60.000004,2018-01-22 11:46:00.000,UTC-0400,2018-01-22 12:20:00.000
91.97708,2018-06-25 04:39:00.000,UTC-0300,2018-06-25 10:27:00.000
90.890686,2018-12-22 04:18:00.000,UTC-0400,2018-12-22 12:32:00.000
91.75258,2018-06-16 00:19:00.000,UTC-0300,2018-06-16 01:55:00.000
92.83276,2018-04-10 02:16:00.000,UTC-0300,2018-04-10 07:08:00.000
91.30435,2018-01-07 11:21:00.000,UTC-0400,2018-01-07 14:01:00.000
85.75581,2018-06-24 05:04:00.000,UTC-0300,2018-06-24 10:47:00.000
88.53333,2018-05-28 03:13:00.000,UTC-0300,2018-05-28 09:27:00.000
93.34917,2018-01-10 03:55:00.000,UTC-0400,2018-01-10 10:55:00.000
91.331924,2018-02-07 03:03:00.000,UTC-0400,2018-02-07 11:07:00.000
92.97052,2018-04-29 03:20:00.000,UTC-0300,2018-04-29 10:41:00.000
92.54386,2018-06-27 03:02:00.000,UTC-0300,2018-06-27 10:37:00.000
90.04525,2018-12-25 04:34:00.000,UTC-0400,2018-12-25 11:55:00.000
93.520515,2018-01-16 03:13:00.000,UTC-0400,2018-01-16 10:55:00.000
90.2439,2018-07-21 03:38:00.000,UTC-0300,2018-07-21 11:49:00.000
92.89474,2018-07-09 04:03:00.000,UTC-0300,2018-07-09 10:23:00.000
92.90188,2018-02-13 02:47:00.000,UTC-0400,2018-02-13 10:45:00.000
90.44289,2018-12-06 03:38:00.000,UTC-0400,2018-12-06 10:46:00.000
90.96154,2018-06-03 03:05:00.000,UTC-0300,2018-06-03 11:44:00.000
92.134834,2018-12-10 07:15:00.000,UTC-0400,2018-12-10 13:10:00.000
90.74074,2018-09-26 02:55:00.000,UTC-0300,2018-09-26 10:06:00.000
89.393936,2018-04-26 03:13:00.000,UTC-0300,2018-04-26 06:31:00.000
90.336136,2018-09-07 02:33:00.000,UTC-0300,2018-09-07 10:28:00.000
95.3168,2018-06-16 03:58:00.000,UTC-0300,2018-06-16 10:00:00.000
0.0,2018-05-08 05:00:00.000,UTC-0300,2018-05-08 08:00:00.000
92.456894,2018-02-14 02:34:00.000,UTC-0400,2018-02-14 10:17:00.000
92.26667,2018-07-25 04:10:00.000,UTC-0300,2018-07-25 10:24:00.000
89.43089,2018-12-15 10:53:00.000,UTC-0400,2018-12-15 12:55:00.000
92.65873,2018-02-01 03:14:00.000,UTC-0400,2018-02-01 11:37:00.000
88.09524,2018-04-13 02:32:00.000,UTC-0300,2018-04-13 10:55:00.000
93.220345,2018-06-08 04:24:00.000,UTC-0300,2018-06-08 10:17:00.000
89.43662,2018-08-30 01:24:00.000,UTC-0300,2018-08-30 08:40:00.000
91.2,2019-01-01 04:55:00.000,UTC-0400,2019-01-01 13:14:00.000
89.26829,2018-09-17 02:45:00.000,UTC-0300,2018-09-17 09:35:00.000
89.69072,2018-04-08 10:12:00.000,UTC-0300,2018-04-08 11:48:00.000
95.726494,2018-07-08 20:35:00.000,UTC-0300,2018-07-08 22:31:00.000
89.93839,2018-06-26 03:18:00.000,UTC-0300,2018-06-26 11:24:00.000
89.926735,2017-12-28 06:38:00.000,UTC-0700,2017-12-28 15:43:00.000
89.3617,2018-11-17 18:39:00.000,UTC-0400,2018-11-17 20:12:00.000
91.17117,2018-11-17 02:49:00.000,UTC-0400,2018-11-17 12:03:00.000
91.681114,2018-02-02 02:38:00.000,UTC-0400,2018-02-02 12:14:00.000
93.65751,2018-01-23 03:23:00.000,UTC-0400,2018-01-23 11:15:00.000
92.36948,2018-09-10 02:15:00.000,UTC-0300,2018-09-10 10:32:00.000
95.454544,2018-10-14 02:44:00.000,UTC-0300,2018-10-14 09:53:00.000
94.61538,2018-04-25 02:09:00.000,UTC-0300,2018-04-25 06:28:00.000
90.54054,2018-09-21 02:47:00.000,UTC-0300,2018-09-21 10:11:00.000
90.55118,2018-08-06 02:49:00.000,UTC-0300,2018-08-06 11:17:00.000
94.117645,2017-12-24 05:31:00.000,UTC-0700,2017-12-24 14:17:00.000
92.391304,2018-11-03 18:17:00.000,UTC-0300,2018-11-03 19:48:00.000
92.55319,2018-08-05 02:40:00.000,UTC-0300,2018-08-05 08:55:00.000
93.66516,2018-11-15 03:25:00.000,UTC-0400,2018-11-15 10:46:00.000
92.121216,2018-10-09 08:08:00.000,UTC-0300,2018-10-09 10:53:00.000
90.54054,2018-05-01 08:14:00.000,UTC-0300,2018-05-01 10:41:00.000
94.291756,2018-02-04 03:17:00.000,UTC-0400,2018-02-04 11:09:00.000
91.45728,2018-04-19 03:04:00.000,UTC-0300,2018-04-19 09:41:00.000
95.07042,2018-03-18 03:54:00.000,UTC-0300,2018-03-18 11:00:00.000
92.230576,2018-10-19 03:00:00.000,UTC-0300,2018-10-19 09:39:00.000
95.16807,2018-03-16 02:20:00.000,UTC-0300,2018-03-16 10:15:00.000
92.85714,2018-03-22 06:27:00.000,UTC-0300,2018-03-22 10:53:00.000
91.84061,2018-10-23 01:30:00.000,UTC-0300,2018-10-23 10:16:00.000
95.83333,2018-07-15 09:48:00.000,UTC-0300,2018-07-15 11:23:00.000
95.62044,2018-04-06 09:15:00.000,UTC-0300,2018-04-06 11:31:00.000
92.30769,2018-05-25 01:58:00.000,UTC-0300,2018-05-25 09:58:00.000
89.43489,2018-07-24 03:45:00.000,UTC-0300,2018-07-24 10:42:00.000
93.7788,2018-03-19 03:16:00.000,UTC-0300,2018-03-19 10:29:00.000
88.957054,2018-03-17 09:13:00.000,UTC-0300,2018-03-17 11:55:00.000
0.0,2018-05-06 04:50:00.000,UTC-0300,2018-05-06 07:50:00.000
93.849655,2018-10-20 03:11:00.000,UTC-0300,2018-10-20 10:29:00.000
86.54173,2018-09-03 01:57:00.000,UTC-0300,2018-09-03 11:44:00.000
89.02954,2018-04-28 02:52:00.000,UTC-0300,2018-04-28 06:48:00.000
91.27517,2018-12-31 05:47:00.000,UTC-0400,2018-12-31 13:13:00.000
88.54962,2018-09-23 09:17:00.000,UTC-0300,2018-09-23 11:27:00.000
96.34146,2017-12-18 03:31:00.000,UTC-0400,2017-12-18 11:42:00.000
89.898994,2018-12-28 12:39:00.000,UTC-0400,2018-12-28 14:17:00.000
94.13093,2018-11-02 04:09:00.000,UTC-0300,2018-11-02 11:31:00.000
